Country Name,Country Code,Year,Real GDP (2015 $)
France,FRA,1986,1413250000000.0
Germany,DEU,1986,2055810000000.0
Italy,ITA,1986,1382080000000.0
Mexico,MEX,1986,590752000000.0
United States,USA,1986,8553720000000.0
China,CHN,1987,864346000000.0
France,FRA,1987,1449330000000.0
Germany,DEU,1987,2084630000000.0
Italy,ITA,1987,1426200000000.0
Mexico,MEX,1987,602941000000.0
United States,USA,1987,8849220000000.0
China,CHN,1988,961348000000.0
France,FRA,1988,1519100000000.0
Germany,DEU,1988,2161910000000.0
Italy,ITA,1988,1486020000000.0
Mexico,MEX,1988,610287000000.0
United States,USA,1988,9218850000000.0
China,CHN,1989,1001790000000.0
France,FRA,1989,1586020000000.0
Germany,DEU,1989,2246150000000.0
Italy,ITA,1989,1536370000000.0
Mexico,MEX,1989,632412000000.0
United States,USA,1989,9557390000000.0
China,CHN,1990,1041270000000.0
France,FRA,1990,1630900000000.0
Germany,DEU,1990,2364190000000.0
Italy,ITA,1990,1566880000000.0
Mexico,MEX,1990,665614000000.0
United States,USA,1990,9737640000000.0
China,CHN,1991,1138750000000.0
France,FRA,1991,1651070000000.0
Germany,DEU,1991,2484960000000.0
Italy,ITA,1991,1590980000000.0
Mexico,MEX,1991,692078000000.0
United States,USA,1991,9727090000000.0
China,CHN,1992,1301590000000.0
France,FRA,1992,1676100000000.0
Germany,DEU,1992,2535000000000.0
Italy,ITA,1992,1604260000000.0
Mexico,MEX,1992,716776000000.0
United States,USA,1992,10069700000000.0
China,CHN,1993,1482890000000.0
France,FRA,1993,1670080000000.0
Germany,DEU,1993,2510330000000.0
Italy,ITA,1993,1590580000000.0
Mexico,MEX,1993,737326000000.0
United States,USA,1993,10346800000000.0
China,CHN,1994,1676740000000.0
France,FRA,1994,1709890000000.0
Germany,DEU,1994,2575520000000.0
Italy,ITA,1994,1624790000000.0
Mexico,MEX,1994,769725000000.0
United States,USA,1994,10763700000000.0
China,CHN,1995,1861740000000.0
France,FRA,1995,1749300000000.0
Germany,DEU,1995,2614280000000.0
Italy,ITA,1995,1671700000000.0
Mexico,MEX,1995,724232000000.0
United States,USA,1995,11052600000000.0
China,CHN,1996,2047470000000.0
France,FRA,1996,1773740000000.0
Germany,DEU,1996,2641410000000.0
Italy,ITA,1996,1694190000000.0
Mexico,MEX,1996,769267000000.0
United States,USA,1996,11469600000000.0
China,CHN,1997,2237630000000.0
France,FRA,1997,1818560000000.0
Germany,DEU,1997,2690390000000.0
Italy,ITA,1997,1726810000000.0
Mexico,MEX,1997,824645000000.0
United States,USA,1997,11979700000000.0
China,CHN,1998,2414860000000.0
France,FRA,1998,1881350000000.0
Germany,DEU,1998,2746770000000.0
Italy,ITA,1998,1757970000000.0
Mexico,MEX,1998,875650000000.0
United States,USA,1998,12516800000000.0
China,CHN,1999,2601700000000.0
France,FRA,1999,1945300000000.0
Germany,DEU,1999,2805270000000.0
Italy,ITA,1999,1787470000000.0
Mexico,MEX,1999,899775000000.0
United States,USA,1999,13116100000000.0
China,CHN,2000,2825100000000.0
France,FRA,2000,2025860000000.0
Germany,DEU,2000,2885960000000.0
Italy,ITA,2000,1856860000000.0
Mexico,MEX,2000,945027000000.0
United States,USA,2000,13650900000000.0
China,CHN,2001,3059940000000.0
France,FRA,2001,2064340000000.0
Germany,DEU,2001,2933180000000.0
Italy,ITA,2001,1894120000000.0
Mexico,MEX,2001,940766000000.0
United States,USA,2001,13781400000000.0
China,CHN,2002,3342780000000.0
France,FRA,2002,2086380000000.0
Germany,DEU,2002,2926490000000.0
Italy,ITA,2002,1899230000000.0
Mexico,MEX,2002,938541000000.0
United States,USA,2002,14015700000000.0
China,CHN,2003,3681010000000.0
France,FRA,2003,2106570000000.0
Germany,DEU,2003,2910980000000.0
Italy,ITA,2003,1900500000000.0
Mexico,MEX,2003,949668000000.0
United States,USA,2003,14407600000000.0
China,CHN,2004,4053940000000.0
France,FRA,2004,2167000000000.0
Germany,DEU,2004,2944810000000.0
Italy,ITA,2004,1928510000000.0
Mexico,MEX,2004,983527000000.0
United States,USA,2004,14961900000000.0
China,CHN,2005,4518460000000.0
France,FRA,2005,2207920000000.0
Germany,DEU,2005,2970890000000.0
Italy,ITA,2005,1943210000000.0
Mexico,MEX,2005,1004310000000.0
United States,USA,2005,15483100000000.0
China,CHN,2006,5091150000000.0
France,FRA,2006,2267840000000.0
Germany,DEU,2006,3085760000000.0
Italy,ITA,2006,1978180000000.0
Mexico,MEX,2006,1052570000000.0
United States,USA,2006,15914300000000.0
China,CHN,2007,5811550000000.0
France,FRA,2007,2325230000000.0
Germany,DEU,2007,3174910000000.0
Italy,ITA,2007,2007110000000.0
Mexico,MEX,2007,1074440000000.0
United States,USA,2007,16233200000000.0
China,CHN,2008,6373540000000.0
France,FRA,2008,2334070000000.0
Germany,DEU,2008,3203100000000.0
Italy,ITA,2008,1986570000000.0
Mexico,MEX,2008,1084580000000.0
United States,USA,2008,16251600000000.0
China,CHN,2009,6972830000000.0
France,FRA,2009,2268150000000.0
Germany,DEU,2009,3025500000000.0
Italy,ITA,2009,1881180000000.0
Mexico,MEX,2009,1016300000000.0
United States,USA,2009,15832900000000.0
China,CHN,2010,7711690000000.0
France,FRA,2010,2313520000000.0
Germany,DEU,2010,3150600000000.0
Italy,ITA,2010,1909950000000.0
Mexico,MEX,2010,1066820000000.0
United States,USA,2010,16259600000000.0
China,CHN,2011,8441320000000.0
France,FRA,2011,2369910000000.0
Germany,DEU,2011,3269000000000.0
Italy,ITA,2011,1923230000000.0
Mexico,MEX,2011,1103560000000.0
United States,USA,2011,16514000000000.0
China,CHN,2012,9104480000000.0
France,FRA,2012,2374270000000.0
Germany,DEU,2012,3284150000000.0
Italy,ITA,2012,1863120000000.0
Mexico,MEX,2012,1142780000000.0
United States,USA,2012,16892000000000.0
China,CHN,2013,9812700000000.0
France,FRA,2013,2392830000000.0
Germany,DEU,2013,3297190000000.0
Italy,ITA,2013,1829250000000.0
Mexico,MEX,2013,1152510000000.0
United States,USA,2013,17249700000000.0
China,CHN,2014,10544900000000.0
France,FRA,2014,2416700000000.0
Germany,DEU,2014,3369070000000.0
Italy,ITA,2014,1829230000000.0
Mexico,MEX,2014,1181370000000.0
United States,USA,2014,17685100000000.0
China,CHN,2015,11280800000000.0
France,FRA,2015,2442480000000.0
Germany,DEU,2015,3425100000000.0
Italy,ITA,2015,1845430000000.0
Mexico,MEX,2015,1213290000000.0
United States,USA,2015,18206000000000.0
China,CHN,2016,12045200000000.0
France,FRA,2016,2463490000000.0
Germany,DEU,2016,3501210000000.0
Italy,ITA,2016,1868240000000.0
Mexico,MEX,2016,1234800000000.0
United States,USA,2016,18537300000000.0
China,CHN,2017,12875200000000.0
France,FRA,2017,2514820000000.0
Germany,DEU,2017,3599170000000.0
Italy,ITA,2017,1898200000000.0
Mexico,MEX,2017,1257910000000.0
United States,USA,2017,18992800000000.0
China,CHN,2018,13745200000000.0
France,FRA,2018,2556210000000.0
Germany,DEU,2018,3640050000000.0
Italy,ITA,2018,1913890000000.0
Mexico,MEX,2018,1282720000000.0
United States,USA,2018,19556300000000.0
China,CHN,2019,14579300000000.0
France,FRA,2019,2608040000000.0
Germany,DEU,2019,3675640000000.0
Italy,ITA,2019,1922110000000.0
Mexico,MEX,2019,1277680000000.0
United States,USA,2019,20061600000000.0
China,CHN,2020,14920500000000.0
France,FRA,2020,2413980000000.0
Germany,DEU,2020,3523760000000.0
Italy,ITA,2020,1751650000000.0
Mexico,MEX,2020,1170940000000.0
United States,USA,2020,19627600000000.0
China,CHN,2021,16199200000000.0
France,FRA,2021,2580120000000.0
Germany,DEU,2021,3661540000000.0
Italy,ITA,2021,1908090000000.0
Mexico,MEX,2021,1241770000000.0
United States,USA,2021,20816100000000.0
China,CHN,2022,16706900000000.0
France,FRA,2022,2650220000000.0
Germany,DEU,2022,3727790000000.0
Italy,ITA,2022,2000080000000.0
Mexico,MEX,2022,1287840000000.0
United States,USA,2022,21339100000000.0
China,CHN,2023,17611500000000.0
France,FRA,2023,2688360000000.0
Germany,DEU,2023,3695370000000.0
Italy,ITA,2023,2019600000000.0
Mexico,MEX,2023,1331020000000.0
United States,USA,2023,21955300000000.0
China,CHN,2024,18488100000000.0
France,FRA,2024,2720360000000.0
Germany,DEU,2024,3677050000000.0
Italy,ITA,2024,2033590000000.0
Mexico,MEX,2024,1350020000000.0
United States,USA,2024,22568500000000.0
China,CHN,2025,
France,FRA,2025,
Germany,DEU,2025,
Italy,ITA,2025,
Mexico,MEX,2025,
United States,USA,2025,
